P1	P2
850320	853318
850320	853340
850320	853381
850320	853422
850320	853429
850320	853455
850320	853456
850320	853471
850320	853475
850320	853481
850320	853482
850320	853507
850320	853521
850320	853536
850320	853544
850320	853557
850320	853559
850320	853568
850320	853597
850320	853607
850320	853609
850320	853610
850320	853613
850320	853628
850320	853629
850320	853638
850320	853642
850320	853644
850320	853662
850320	853667
850320	853674
850320	853684
850320	853687
850320	853688
850320	853697
850320	853702
850320	853706
850320	853707
850320	853715
850320	853718
850320	853728
850320	853729
850320	853732
850320	853741
850320	853753
850320	853754
850320	853762
850320	853781
850320	853809
850320	853811
850320	853812
850320	853814
850320	853821
850320	853833
850320	853841
850320	853863
850320	853864
850320	853869
850320	853875
850320	853890
850320	853910
850320	853916
850320	853920
850320	853922
850320	853929
850320	853931
850320	853933
850320	853936
850320	853940
850320	853944
850320	853958
850320	853963
850320	853969
850320	853986
850320	854011
850320	854025
850320	854026
850320	854028
850320	854029
850320	854038
850320	854039
850320	854057
850320	854060
850320	854082
850320	854089
850320	854090
850320	854105
850320	854116
850320	854117
850320	854118
850320	854119
850320	854125
850320	854131
850320	854150
850320	854156
850320	854157
850320	854162
850320	854163
850320	854186
850320	854210
850320	854216
850320	854252
850320	854256
850320	854261
850320	854263
850320	854266
850320	854270
850320	854276
850320	854277
850320	854289
850320	854293
850320	854297
850320	854310
850320	854319
850320	854330
850320	854334
850320	854338
850320	854351
850320	854357
850320	854376
850320	854377
850320	854385
850320	854390
850320	854395
850320	854399
850320	854401
850320	854404
850320	854407
850320	854409
850320	854411
850320	854413
850320	854415
850320	854417
850320	854425
850320	854447
850320	854450
850320	854459
850320	854470
850320	854474
850320	854489
850320	854503
850320	854505
850320	854509
850320	854549
850320	854551
850320	854552
850320	854557
850320	854564
850320	854569
850320	854648
850320	854664
850320	854668
850320	854672
850320	854673
850320	854682
850320	854688
850320	854690
850320	854695
850320	854714
850320	854722
850320	854741
850320	854745
850320	854748
850320	854759
850320	854760
850320	854770
850320	854790
850320	854791
850320	854794
850320	854805
850320	854814
850320	854817
850320	854825
850320	854834
850320	854835
850320	854840
850320	854850
850320	854853
850320	854854
850320	854855
850320	854866
850320	854871
850320	854875
850320	854879
850320	854896
850320	854901
850320	854902
850320	854914
850320	854915
850320	854918
850320	854945
850320	854953
850320	854980
850320	854982
850320	854983
850320	854984
850320	855005
850320	855012
850320	855021
850320	855034
850320	855081
850320	855096
850320	855107
850320	855115
850320	855160
850320	855170
850320	855173
850320	855174
850320	855177
850320	855180
